source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0,umap_1,umap_2,cluster_label
5290909193345772672,117.52144573539468,-60.7551598095859,2.5192556476211734,0.07023807,-4.377804849929318,0.09663489,11.753502775612915,0.0805526,17.408651,18.696941,16.307848,2.3890934,1075.6215,60.507393,257.23486,1.0171824,0.18099445,0,396.94264492143054,9.988712566844589,2.0458934,8.697658,0.5990376,2
5290909979321473280,117.7503453657684,-60.72865563304432,3.039303037384446,0.36761156,-4.158653271157452,0.51897466,9.934103696026552,0.4431967,20.183477,21.219011,18.87949,2.3395214,231.9015,7.092019,32.4409,0.9886317,0.0,0,329.0228015106308,12.597347422209811,2.3395214,15.721012,-3.0355222,1
5290914892764534016,118.05314902723336,-60.64284886752924,1.8978606268495208,0.28144154,-3.664939184366443,0.44094473,10.636853908028362,0.36275086,19.856619,21.186441,18.569876,2.6165657,319.10236,10.21697,55.000774,0.9861281,0.0,0,526.909081653702,11.247940461163893,2.6165657,8.2132635,11.931703,2
5290915889200648064,118.19510952419678,-60.54697947547115,3.0194760986132008,0.32431594,-4.623536456192118,0.39546835,10.127412429777138,0.526847,19.94369,20.861713,18.653328,2.2083855,277.57886,9.149459,33.477684,1.0129746,0.42271742,0,331.18328058939915,12.343347327292848,2.2083855,15.712112,-2.9305263,-1
5290927507086659200,118.71611875773704,-60.55803765200549,2.646128838544033,0.180318,-3.572850984468922,0.22100264,10.743771636342114,0.25976083,19.247715,20.685343,18.014088,2.671255,456.6323,12.979442,73.59101,0.96433794,0.0,0,377.91054820680057,11.360769925955328,2.671255,14.552412,0.035915345,2
5290929190714205056,118.8569245730552,-60.60567776402719,2.4708377570066027,0.037870735,-4.202581231141229,0.05008451,10.57721335900635,0.048057575,16.321892,17.509329,15.237715,2.271614,1263.2874,108.08514,458.7983,1.1040685,0.16072656,0,404.7210291992182,8.821712937218527,1.9578141,4.5604663,-0.55871254,2
5290929706107749504,118.98900302535922,-60.54646157601043,2.5978324696711006,0.29881075,-4.794544691910667,0.44864893,11.267477053121798,0.4154353,19.751223,21.125542,18.454153,2.6713886,310.74295,8.622029,57.37699,1.0206808,0.722536,0,384.9362927266073,11.824278313667236,2.6713886,15.18469,0.75866324,2
5290941006167025024,118.5597067924462,-60.43365764487104,2.771358478191344,0.23522924,-3.557029465389368,0.29863185,11.90927829618883,0.33757746,19.551598,20.94266,18.278511,2.6641483,358.09564,12.233116,53.967888,1.0430831,0.67994213,0,360.8338682524479,11.765061124578784,2.6641483,15.33782,-1.4400387,2
5290941177965760768,118.62768340460153,-60.39462171871274,2.5449241932804494,0.18866397,-3.691212823276205,0.22297026,11.757906837225772,0.25035605,19.194843,20.805902,17.908026,2.8978767,500.75272,13.374288,101.39639,1.0582672,0.7568624,0,392.9390127377364,11.223217544008223,2.8978767,14.11971,1.4824177,2
5290945271072638592,118.5374749254308,-60.33660151840556,2.717476726912697,0.361239,-3.941505369687873,0.42679745,10.701267055122011,0.47657686,20.01909,21.397488,18.755934,2.6415539,251.61208,6.4829154,29.068958,0.9704382,0.8888523,0,367.98843209821774,12.189919819354678,2.6415539,15.667868,-0.90222293,2
